Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com/,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
https://www.uol.com.br/,https://rss.uol.com.br/feed/noticias.xml,UOL,,Enabled,,,article,,cultura.uol.com.br;noticias.uol.com.br;oantagonista.uol.com.br;aovivo.folha.uol.com.br;www.band.uol.com.br;tribunapr.uol.com.br;www.redetv.uol.com.br,Top Sources; Top News,1,
https://canaltech.com.br/,https://feeds2.feedburner.com/canaltechbr,Canaltech,,Enabled,,,article,,canaltech.com.br,Top Sources; Technology,2,
https://tecnoblog.net/,https://tecnoblog.net/feed/,Tecnoblog,,Enabled,,,article,,tecnoblog.net,Top Sources; Technology,3,
https://www.cnnbrasil.com.br/,https://www.cnnbrasil.com.br/feed/,CNN Brasil,,Enabled,,,article,,www.cnnbrasil.com.br,Top Sources; Top News,4,
https://www.tuasaude.com/,https://www.tuasaude.com/feed/,Tua Saúde,,Enabled,,,article,,www.tuasaude.com,Top Sources; Health,5,
https://www.tudocelular.com/,https://www.tudocelular.com/feed/,Tudo Celular,,Enabled,,,article,,www.tudocelular.com,Top Sources; Technology,6,
https://olhardigital.com.br/,https://olhardigital.com.br/feed/,Olhar Digital,,Enabled,,,article,,olhardigital.com.br,Top Sources; Top News,7,
https://www.oficinadanet.com.br/,https://www.oficinadanet.com.br/rss/geral,Oficina da Net,,Enabled,,,article,,www.oficinadanet.com.br,Top Sources; Technology,8,
https://www.terra.com.br/,https://www.terra.com.br/rss.xml,Terra,,Enabled,,,article,,www.terra.com.br,Top Sources; Top News,9,
https://www.infomoney.com.br/,https://www.infomoney.com.br/feed/,InfoMoney,,Enabled,,,article,,www.infomoney.com.br,Top Sources; Business,10,
https://www.espn.com.br/,https://www.espn.com.br/rss,ESPN.com.br,,Enabled,,,article,,www.espn.com.br,Top Sources; Sports,11,
https://www.ebc.com.br/,https://memoria.ebc.com.br/rss/noticias/feed.xml,EBC,,Enabled,,,article,,ebc.com.br,Top Sources; Top News,13,
https://www.istoedinheiro.com.br/,https://www.istoedinheiro.com.br/feed/,ISTOÉ DINHEIRO,,Enabled,,,article,,www.istoedinheiro.com.br,Top Sources; Top News,14,
https://www.diariocidade.com/,https://www.diariocidade.com/feed/,Diário Cidade,,Enabled,,,article,,www.diariocidade.com,Top Sources; Top News,15,
https://www.metropoles.com/,https://www.metropoles.com/feed,Metrópoles,,Enabled,,,article,,www.metropoles.com,Top Sources; Top News,16,
https://www.lance.com.br/,https://www.lance.com.br/rss/,LANCE!,,Enabled,,,article,,www.lance.com.br;jumperbrasil.lance.com.br,Top Sources; Sports,18,
https://adrenaline.com.br/,https://adrenaline.com.br/rss,Adrenaline,,Enabled,,,article,,adrenaline.com.br,Top Sources; Technology,19,
https://istoe.com.br/,https://www.istoe.com.br/rss,IstoÉ,,Enabled,,,article,,istoe.com.br,Top Sources; Top News,20,
https://www.papodecinema.com.br/,https://www.papodecinema.com.br/feed,Papo de Cinema,,Disabled,,,article,,papodecinema.com.br,Entertainment,21,
https://www.purepeople.com.br/,https://www.purepeople.com.br/partners/generic/news.xml,Purepeople,,Disabled,,,article,,www.purepeople.com.br,Entertainment,22,
https://www.poder360.com.br/,https://www.poder360.com.br/feed/,Poder360,,Disabled,,,article,,www.poder360.com.br,Top News,23,
https://www.jornalcontabil.com.br/,https://www.jornalcontabil.com.br/feed/,Jornal Contábil,,Disabled,,,article,,www.jornalcontabil.com.br,Top News,24,
https://www.gazetadopovo.com.br/,https://www.gazetadopovo.com.br/feed/rss/mundo.xml,Gazeta do Povo,,Disabled,,,article,,www.gazetadopovo.com.br,World News,25,
https://www.gazetaesportiva.com/,https://www.gazetaesportiva.com/feed/,Gazeta Esportiva,,Disabled,,,article,,www.gazetaesportiva.com;videos.gazetaesportiva.com,Sports,26,
https://www.dci.com.br/,https://www.dci.com.br/feed/,DCI,,Disabled,,,article,,www.dci.com.br,Top News,27,
https://elpais.com/,https://brasil.elpais.com/arc/outboundfeeds/rss/?outputType=xml,EL PAÍS Edición América,,Disabled,,,article,,elpais.com,World News,29,
https://fdr.com.br/,https://www.fdr.com.br/rss,FDR,,Disabled,,,article,,fdr.com.br,Business,30,
https://www.verdesmares.com.br,https://diariodonordeste.verdesmares.com.br/cmlink/dow-jones-1.2963165,Diário do Nordeste,,Disabled,,,article,,verdesmares.com.br,Top News,31,
https://www.jovemnerd.com.br/,https://jovemnerd.com.br/feed/,Jovem Nerd,,Disabled,,,article,,jovemnerd.com.br,Entertainment,32,
https://www.noticiasautomotivas.com.br/,https://www.noticiasautomotivas.com.br/feed/,Notícias Automotivas,,Disabled,,,article,,www.noticiasautomotivas.com.br,Cars,33,
https://www.moneytimes.com.br/,https://www.moneytimes.com.br/feed/,Money Times,,Disabled,,,article,,www.moneytimes.com.br,Business,34,
https://www.em.com.br/,https://www.em.com.br/rss/noticia/nacional/rss.xml,Jornal Estado de Minas,,Disabled,,,article,,www.em.com.br,Top News,35,
https://www.hardware.com.br/,https://www.hardware.com.br/feed/,Hardware.com.br,,Disabled,,,article,,hardware.com.br,Technology,36,
https://sempreupdate.com.br/,https://sempreupdate.com.br/feed/,SempreUpdate,,Disabled,,,article,,sempreupdate.com.br,Technology,38,
https://cinepop.com.br/,https://cinepop.com.br/feed/,CinePOP,,Disabled,,,article,,cinepop.com.br,Entertainment,41,
https://www.legiaodosherois.com.br/,https://www.legiaodosherois.com.br/feed,Legião dos Heróis,,Disabled,,,article,,www.legiaodosherois.com.br,Entertainment,42,
/home,https://api.nsctotal.com.br/rss.xml,NSC Total,,Disabled,,,article,,api.nsctotal.com.br,Top News,43,
https://www.sapo.pt/,https://www.sapo.pt/rss,SAPO,,Disabled,,,article,,www.sapo.pt,Top News,44,
https://www.tempo.com/,https://www.tempo.com/feed/,O tempo,,Disabled,,,article,,www.tempo.com,Weather,46,
https://www.ofuxico.com.br/,https://www.ofuxico.com.br/rss,OFuxico,,Disabled,,,article,,www.ofuxico.com.br,Entertainment,47,
https://www.showmetech.com.br/,https://www.showmetech.com.br/feed/,Showmetech,,Disabled,,,article,,www.showmetech.com.br,Technology,48,
https://jovempan.com.br/,https://jovempan.com.br/feed,Jovem Pan,,Disabled,,,article,,jovempan.com.br,Top News,49,
https://mundoconectado.com.br/,https://mundoconectado.com.br/site/rss,Mundo Conectado,,Disabled,,,article,,mundoconectado.com.br,Technology,50,
https://criticalhits.com.br/,https://www.criticalhits.com.br/rss,Critical Hits,,Disabled,,,article,,criticalhits.com.br,Entertainment,52,
https://investnews.com.br/,https://investnews.com.br/feed/,InvestNews,,Disabled,,,article,,investnews.com.br,Business,53,
https://www.uai.com.br/,https://www.jornalcidademg.com.br/feed,Uai,,Disabled,,,article,,www.jornalcidademg.com.br,Top News,54,
https://macmagazine.com.br/,https://feeds.feedburner.com/mmnoar,MacMagazine,,Disabled,,,article,,macmagazine.com.br,Technology,57,
https://www.receiteria.com.br/,https://www.receiteria.com.br/feed/,Receiteria,,Disabled,,,article,,receiteria.com.br,Food,58,
https://catracalivre.com.br/,https://catracalivre.com.br/feed/,Catraca Livre,,Disabled,,,article,,catracalivre.com.br,Culture,59,
https://www.dicasdemulher.com.br/,https://www.dicasdemulher.com.br/feed/,Dicas de Mulher,,Disabled,,,article,,www.dicasdemulher.com.br,Culture,61,
https://vitat.com.br/,https://vitat.com.br/feed/,Vitat,,Disabled,,,article,,vitat.com.br,Health,62,
https://www.seudinheiro.com/,https://www.seudinheiro.com/feed/,Seu Dinheiro,,Disabled,,,article,,www.seudinheiro.com,Business,63,
https://www.tenhomaisdiscosqueamigos.com/,https://www.tenhomaisdiscosqueamigos.com/feed/,Tenho Mais Discos Que Amigos!,,Disabled,,,article,,www.tenhomaisdiscosqueamigos.com,Entertainment,65,
https://www.brasildefato.com.br/,https://www.brasildefato.com.br/rss2.xml,Brasil de Fato,,Disabled,,,article,,www.brasildefato.com.br,Top News,69,
https://www.jota.info/,https://www.jota.info/feed,JOTA,,Disabled,,,article,,www.jota.info,Business,70,
https://www.meutimao.com.br/,https://www.meutimao.com.br/rss,Meu Timão,,Disabled,,,article,,www.meutimao.com.br,Sports,71,
https://www.jbox.com.br/,https://www.jbox.com.br/feed/,JBox,,Disabled,,,article,,www.jbox.com.br,Culture,74,
https://www.eurodicas.com.br/,https://www.eurodicas.com.br/feed/,Euro Dicas,,Disabled,,,article,,www.eurodicas.com.br,Travel,75,
https://forbes.com.br/,https://forbes.com.br/feed/,Forbes Brasil,,Disabled,,,article,,forbes.com.br,Business,77,