Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://brave.com,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,,,article,,brave.com,Brave,,
https://lefigaro.fr,https://www.lefigaro.fr/rss/figaro_actualites.xml,Le Figaro,Top News,Enabled,,,article,,lefigaro.fr,Top Sources;Top News,1,
https://lemonde.fr,https://www.lemonde.fr/rss/une.xml,Le Monde,Top News,Enabled,,,article,,lemonde.fr,Top Sources;Top News,2,
https://francetvinfo.fr,https://www.francetvinfo.fr/monde.rss,Franceinfo,Top News,Enabled,,,article,,francetvinfo.fr,Top Sources;Top News,3,
https://linternaute.fr,https://www.linternaute.com/actualite/rss/,Linternaute,Top News,Enabled,,,article,,linternaute.fr,Top Sources;Top News,4,
https://leparisien.fr,https://feeds.leparisien.fr/leparisien/rss,Le Parisien,Top News,Enabled,,,article,,leparisien.fr,Top Sources;Top News,5,
https://20minutes.fr,https://www.20minutes.fr/rss/une.xml,20 Minutes,Top News,Enabled,,,article,,20minutes.fr,Top Sources;Top News,6,
https://commentcamarche.net,https://www.commentcamarche.net/rss/,CCM,Technology,Enabled,,,article,,commentcamarche.net,Top Sources;Technology,7,
https://journaldesfemmes.fr,https://www.journaldesfemmes.fr/rss,Journal de Femmes,Culture,Enabled,,,article,,journaldesfemmes.fr,Top Sources;Culture,8,
https://lequipe.fr,https://dwh.lequipe.fr/api/edito/rss?path=/,L'Equipe,Sports,Enabled,,,article,,lequipe.fr,Top Sources;Sports,9,
https://lesnumeriques.com,https://www.lesnumeriques.com/rss-news.xml,Les Numériques,Technology,Enabled,,,article,,lesnumeriques.com,Top Sources;Technology,10,
https://bfmtv.com,https://www.bfmtv.com/rss/news-24-7/,BFMTV,Top News,Enabled,,,article,,bfmtv.com,Top News,11,
https://clubic.com,https://www.clubic.com/feed/news.rss,Clubic,Technology,Enabled,,,article,,clubic.com,Technology,12,
https://01net.com,https://www.01net.com/actualites/feed/,01Net,Technology,Enabled,,,article,,01net.com,Technology,13,
https://futura-sciences.com,https://www.futura-sciences.com/rss/actualites.xml,Futura-Sciences,Science,Enabled,,,article,,futura-sciences.com,Top Sources;Science,14,
https://lesechos.fr,https://services.lesechos.fr/rss/les-echos-economie.xml,Les Echos,Business,Enabled,,,article,,lesechos.fr,Top Sources;Business,15,
https://ladepeche.fr,https://www.ladepeche.fr/rss.xml,La Dépêche,Top News,Enabled,,,article,,ladepeche.fr,Top News,16,
https://frandroid.com,https://www.frandroid.com/feed,Frandroid,Technology,Enabled,,,article,,frandroid.com,Technology,17,
https://marmiton.org,https://www.marmiton.org/feed,Marmiton,Food,Enabled,,,article,,marmiton.org,Top Sources;Food,18,
https://journaldunet.fr,https://www.journaldunet.com/rss/,JDN,Technology,Enabled,,,article,,journaldunet.fr,Technology,19,
https://telerama.fr,https://www.telerama.fr/rss/une.xml,Télérama,Entertainment,Enabled,,,article,,telerama.fr,Top Sources;Entertainment,20,
https://sudouest.fr,https://www.sudouest.fr/rss.xml,Sud Ouest,Top News,Enabled,,,article,,sudouest.fr,Top News,21,
https://actu.fr,https://www.actu.fr/rss.xml,Actu.fr,Top News,Enabled,,,article,,actu.fr,Top News,22,
https://femmeactuelle.fr,https://www.femmeactuelle.fr/feeds/rss.xml,Femme Actuelle,Fashion,Enabled,,,article,,femmeactuelle.fr,Top Sources;Fashion,23,
https://nouvelobs.com,https://www.nouvelobs.com/rss.xml,L'Obs,Top News,Enabled,,,article,,nouvelobs.com,Top News,24,
https://franceculture.fr,https://www.radiofrance.fr/franceculture/rss,France Culture,Culture,Enabled,,,article,,franceculture.fr,Culture,25,
https://phonandroid.com,https://www.phonandroid.com/rss,PhonAndroid,Technology,Enabled,,,article,,phonandroid.com,Technology,26,
https://tf1info.fr,https://www.tf1info.fr/feeds/rss-une.xml,TF1 Info,Top News,Enabled,,,article,,tf1info.fr,Top News,27,
https://lexpress.fr,https://www.lexpress.fr/rss/feedly.xml,L'Express,Top News,Enabled,,,article,,lexpress.fr,Top News,28,
https://franceinter.fr,https://www.radiofrance.fr/franceinter/rss,France Inter,Top News,Enabled,,,article,,franceinter.fr,Top News,29,
https://capital.fr,https://www.capital.fr/rss,Capital,Business,Enabled,,,article,,capital.fr,Business,30,
https://francebleu.fr,https://www.francebleu.fr/rss/a-la-une.xml,France Bleu,Top News,Enabled,,,article,,francebleu.fr,Top News,31,
https://elle.fr,https://cdn-elle.ladmedia.fr/var/plain_site/storage/flux_rss/fluxToutELLEfr.xml,Elle,Fashion,Enabled,,,article,,elle.fr,Fashion,32,
https://blogdumoderateur.com,https://www.blogdumoderateur.com/feed/,BDM,Technology,Enabled,,,article,,blogdumoderateur.com,Technology,33,
https://meteofrance.com,https://www.meteofrance.com/rss.xml,Meteo France,Weather,Enabled,,,article,,meteofrance.com,Weather,34,
https://cnetfrance.fr,https://www.cnetfrance.fr/feeds/rss/,CNet France,Technology,Enabled,,,article,,cnetfrance.fr,Technology,35,
https://lepoint.fr,https://www.lepoint.fr/rss.xml,Le Point,Top News,Enabled,,,article,,lepoint.fr,Top News,36,
https://france24.com,https://www.france24.com/en/france/rss,France24,Top News,Enabled,,,article,,france24.com,Top News,37,
https://ecranlarge.com,https://www.ecranlarge.com/rss,Ecran Large,Entertainment,Enabled,,,article,,ecranlarge.com,Entertainment,38,
https://midilibre.fr,https://www.midilibre.fr/rss.xml,Midi Libre,Top News,Enabled,,,article,,midilibre.fr,Top News,39,
https://huffingtonpost.fr,https://www.huffingtonpost.fr/rss/all_headline.xml,Le Huffington Post,Politics,Enabled,,,article,,huffingtonpost.fr,Politics,40,
https://wikihow.com,https://www.wikihow.com/feed.rss,Wikihow,Home,Enabled,,,article,,wikihow.com,Home,41,
https://liberation.fr,https://www.liberation.fr/arc/outboundfeeds/rss-all/?outputType=xml,Libération,Top News,Enabled,,,article,,liberation.fr,Top News,42,
https://numerama.com,https://www.numerama.com/rss/news.rss,Numerama,Technology,Enabled,,,article,,numerama.com,Technology,43,
https://cineserie.com,https://www.cineserie.com/feed/,CinéSérie,Entertainment,Enabled,,,article,,cineserie.com,Entertainment,44,
https://presse-citron.net,https://www.presse-citron.net/feed/,Presse-citron,Technology,Enabled,,,article,,presse-citron.net,Technology,45,
https://journaldugeek.com,https://www.journaldugeek.com/rss,Journal du Geek,Technology,Enabled,,,article,,journaldugeek.com,Technology,46,
https://eurosport.fr,https://www.eurosport.fr/rss.xml,Eurosport,Sports,Enabled,,,article,,eurosport.fr,Sports,47,
https://cnews.fr,https://www.cnews.fr/rss.xml,CNews,Top News,Enabled,,,article,,cnews.fr,Top News,48,
https://techno-science.net,https://www.techno-science.net/include/news.xml,Techno-Science,Technology,Enabled,,,article,,techno-science.net,Technology,49,
https://letelegramme.fr,https://www.letelegramme.fr/rss.xml,Le Télégramme,Top News,Enabled,,,article,,letelegramme.fr,Top News,50,
https://lavoixdunord.fr,https://www.lavoixdunord.fr/rss2/610477/cible_principale,La Voix du Nord,Top News,Enabled,,,article,,lavoixdunord.fr,Top News,51,
https://theguardian.com,https://www.theguardian.com/world/rss,The Guardian,World News,Enabled,,,article,,theguardian.com,World News,52,
https://footmercato.net,https://www.footmercato.net/flux-rss,Foot Mercato,Sports,Enabled,,,article,,footmercato.net,Sports,53,
https://breakflip.com,https://www.breakflip.com/feed.rss,Breakflip,Gaming,Enabled,,,article,,breakflip.com,Top Sources;Gaming,54,
https://europe1.fr,https://www.europe1.fr/rss.xml,Europe 1,Top News,Enabled,,,article,,europe1.fr,Top News,55,
https://gamekult.com,https://www.gamekult.com/feed.xml,Gamekult,Gaming,Enabled,,,article,,gamekult.com,Gaming,56,
https://ledauphine.com,https://www.ledauphine.com/rss,Le Dauphiné Libéré,Top News,Enabled,,,article,,ledauphine.com,Top News,57,
https://premiere.fr,https://www.premiere.fr/rss.xml,Premiere,Entertainment,Enabled,,,article,,premiere.fr,Entertainment,58,
https://notretemps.com,https://www.notretemps.com/rss,Notretemps,Home,Enabled,,,article,,notretemps.com,Top Sources;Home,59,
https://leprogres.fr,https://www.leprogres.fr/rss,Le Progrès,Top News,Enabled,,,article,,leprogres.fr,Top News,60,
https://santemagazine.fr,https://www.santemagazine.fr/feeds/rss,Santé Magazine,Health,Enabled,,,article,,santemagazine.fr,Top Sources;Health,61,
https://challenges.fr,https://www.challenges.fr/rss.xml,Challenges,Business,Enabled,,,article,,challenges.fr,Business,62,
https://parismatch.com,https://www.parismatch.com/rss.xml,Paris Match,Celebrity News,Enabled,,,article,,parismatch.com,Top Sources;Celebrity News,63,
https://tomsguide.fr,https://www.tomsguide.fr/rss,Tom's Guide,Technology,Enabled,,,article,,tomsguide.fr,Technology,64,
https://latribune.fr,https://www.latribune.fr/feed.xml,La Tribune,Business,Enabled,,,article,,latribune.fr,Business,65,
https://geo.fr,https://www.geo.fr/rss,GEO,Travel,Enabled,,,article,,geo.fr,Travel,66,
https://mediapart.fr,https://www.mediapart.fr/articles/feed,Mediapart,Top News,Enabled,,,article,,mediapart.fr,Top News,67,
https://lindependant.fr,https://www.lindependant.fr/rss.xml,L'Indépendant,Top News,Enabled,,,article,,lindependant.fr,Top News,68,
https://hitek.fr,https://hitek.fr/rss,Hitek,Technology,Enabled,,,article,,hitek.fr,Technology,69,
https://topsante.com,https://www.topsante.com/feed/list/rss/(limit)/30,Top Santé,Health,Enabled,,,article,,topsante.com,Health,70,
https://dossierfamilial.com,https://www.mercipourlinfo.fr/feeds/rss,Merci pour l’info ,Business,Enabled,,,article,,dossierfamilial.com,Business,71,
https://45secondes.fr,https://www.45secondes.fr/rss,45 Secondes,Entertainment,Enabled,,,article,,45secondes.fr,Entertainment,72,
https://ign.com,https://fr.ign.com/articles/rss,IGN,Gaming,Enabled,,,article,,ign.com,Gaming,73,
https://maxifoot.fr,https://rss.maxifoot.com/football-general.xml,Maxifoot,Sports,Enabled,,,article,,maxifoot.fr,Sports,74,
https://closermag.fr,https://www.closermag.fr/rss,Closer,Celebrity News,Enabled,,,article,,closermag.fr,Celebrity News,75,
https://usinenouvelle.com,https://www.usinenouvelle.com/rss/,L'Usine Nouvelle,Business,Enabled,,,article,,usinenouvelle.com,Business,76,
https://manga-news.com,https://www.manga-news.com/index.php/feed/news,Manga news,Entertainment,Enabled,,,article,,manga-news.com,Entertainment,77,
https://meilleure-innovation.com,https://www.meilleure-innovation.com/feed/,Meilleure-Innovation,Technology,Enabled,,,article,,meilleure-innovation.com,Technology,78,
https://gamespot.com,https://www.gamespot.com/feeds/news,Gamespot,Gaming,Enabled,,,article,,gamespot.com,Gaming,79,
https://slate.fr,https://www.slate.fr/rss.xml,Slate,Culture,Enabled,,,article,,slate.fr,Culture,80,
https://justgeek.fr,https://www.justgeek.fr/feed/,JustGeek,Technology,Enabled,,,article,,justgeek.fr,Technology,81,
https://maison-travaux.fr,https://www.maison-travaux.fr/feed,Maison & Travaux,Home,Enabled,,,article,,maison-travaux.fr,Home,82,
https://public.fr,https://www.public.fr/var/exports/rss_news.xml,Public,Celebrity News,Enabled,,,article,,public.fr,Celebrity News,83,
https://courrierinternational.com,https://www.courrierinternational.com/feed/all/rss.xml,Courrier international,World News,Enabled,,,article,,courrierinternational.com,Top Sources;World News,84,
https://aufeminin.com,https://www.aufeminin.com/feed,aufeminin,Culture,Enabled,,,article,,aufeminin.com,Culture,85,
https://parents.fr,https://www.parents.fr/feeds/rss,Parents,Culture,Enabled,,,article,,parents.fr,Culture,86,
https://jardiner-malin.fr,https://www.jardiner-malin.fr/rss,Jardiner Malin,Home,Enabled,,,article,,jardiner-malin.fr,Home,87,
https://gameblog.fr,https://www.gameblog.fr/rssmap/rss_all.xml,Gameblog,Gaming,Enabled,,,article,,gameblog.fr,Gaming,88,
https://ptitchef.com,https://www.ptitchef.com/upload_data/rss/fr/recipes-latest.rss,Ptitchef,Food,Enabled,,,article,,ptitchef.com,Food,89,
https://nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,World News,Enabled,,,article,,nytimes.com,World News,90,
https://zdnet.fr,https://www.zdnet.fr/feeds/rss/,ZDNet,Technology,Enabled,,,article,,zdnet.fr,Technology,91,
https://marianne.net,https://www.marianne.net/rss.xml,Marianne,Top News,Enabled,,,article,,marianne.net,Top News,92,
https://gamerant.com,https://gamerant.com/feed/,Game Rant,Technology,Enabled,,,article,,gamerant.com,Technology,93,
https://motorsport.com,https://www.motorsport.com/rss/all/news/,Motorsport,Sports,Enabled,,,article,,motorsport.com,Sports,94,
https://reviews.tn,https://reviews.tn/feed/,Reviews,Entertainment,Enabled,,,article,,reviews.tn,Entertainment,95,
https://makeuseof.com,https://www.makeuseof.com/feed/,MakeUseOf,Technology,Enabled,,,article,,makeuseof.com,Technology,96,
https://dailymail.co.uk,https://www.dailymail.co.uk/news/worldnews/index.rss,The Daily Mail,World News,Enabled,,,article,,dailymail.co.uk,World News,97,
https://dotesports.com,https://dotesports.com/feed,Dot Esports,Gaming,Enabled,,,article,,dotesports.com,Gaming,98,
https://techtribune.net,https://fr.techtribune.net/feed/,Tech Tribune France,Technology,Enabled,,,article,,techtribune.net,Technology,99,
https://tomshardware.fr,https://www.tomshardware.fr/rss,Toms Hardware France,Technology,Enabled,,,article,,tomshardware.fr,Technology,100,
https://techradar.com,https://www.techradar.com/rss,Techradar,Technology,Enabled,,,article,,techradar.com,Technology,101,
